Tâche,Date,Plante,Type,Fréquence,Notes
🌿 Engrais Dragonnier,2026-11-18,Dragonnier,Engrais,Une fois par mois (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Dragonnier,2026-11-18,Dragonnier,Surveillance,Contrôle mensuel,Pointes brunes = eau calcaire/fluorée ou air sec.
💧 Arroser la Sansevieria,2026-11-18,Langue de belle-mère,Arrosage,Tous les 14 à 21 jours,Laisser sécher complètement. 1 fois/mois en hiver.
🔎 Contrôler la Sansevieria,2026-11-18,Langue de belle-mère,Surveillance,Contrôle mensuel,Base molle = pourriture ; feuilles couchées = manque de lumière.
💧 Arroser le Peperomia,2026-11-18,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
🌿 Engrais Peperomia,2026-11-18,Peperomia grimpant,Engrais,Tous les 15 jours (printemps-été),Engrais plantes vertes dilué. Stop en hiver.
🔎 Contrôler le Peperomia,2026-11-18,Peperomia grimpant,Surveillance,Contrôle mensuel,Feuilles molles = trop d'eau ; tiges allongées = manque de lumière.
🌿 Engrais Clivia,2026-11-20,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
🪴 Rempoter le Caféier,2027-08-21,Caféier,Rempotage,Tous les 12 à 18 mois,"Au printemps, substrat riche, légèrement acide et drainant."
🪴 Rempoter le Peperomia,2027-08-21,Peperomia grimpant,Rempotage,Tous les 12 à 18 mois,"Au printemps, substrat léger et drainant."
🪴 Rempoter le Clusia,2028-05-21,Clusia « Princess »,Rempotage,Tous les 2 ans,"Au printemps, substrat drainant et riche."
🪴 Rempoter le Dragonnier,2028-11-19,Dragonnier,Rempotage,Tous les 2 à 3 ans,Au printemps. Pot lourd pour la stabilité.
🪴 Rempoter la Sansevieria,2028-11-19,Langue de belle-mère,Rempotage,Tous les 2 à 3 ans,Quand les racines déforment le pot. Substrat cactées.
🪴 Rempoter le Clivia,2029-11-20,Clivia,Rempotage,Tous les 3 à 4 ans,Fleurit mieux à l'étroit. Rempoter après floraison.
